workorder num,actual code,exsisting code,update status
11347,2711,*PUYALLUP - 2711 -10.1.% Tax Code979-inactive,Correct
11373,4100,*4100 - Pierce- 8.1% Tax Code,Correct
11369,4100,*4100 - Pierce- 8.1% Tax Code,Correct
11371,2700,*2700-Pierce- 9.5% Tax Code,Correct
11315,4100,*4100 - Pierce- 8.1% Tax Code,Correct
11349,4100,*4100 - Pierce- 8.1% Tax Code,Correct
11372,2727,PIERCE-2727 10% Tax Code-inactive,Correct
11396,2717,TACOMA-2717-eff 07/21.-inactive,Correct
11389,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11397,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11398,,*2701 - Bonney Lake - 9.5% Tax Code,Check Manually
11404,1732,*FEDERAL WAY - 1732 -10.2.% Tax Code1005-inactive,Correct
11416,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11420,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11423,2700,*2700-Pierce- 9.5% Tax Code,Correct
11425,4000,*KING - 4000 - 8.8.% Tax Code1013-inactive,Correct
11393,2700,*2727 - Pierce- 10.1% Tax Code,Check Manually
11433,2700,*2700-Pierce- 9.5% Tax Code,Correct
11426,2721,*2721 - Lakewood - 10.1% Tax Code,Correct
11402,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11325,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11324,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11430,2707,UNIVERSITY PLACE 10% Tax Code-inactive,updated
11412,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11377,4100,*4100 - Pierce- 8.1% Tax Code,Correct
11442,4100,*4100 - Pierce- 8.1% Tax Code,Correct
11449,4100,*2700-Pierce- 9.5% Tax Code,updated
11401,,*2700-Pierce- 9.5% Tax Code,Check Manually
11400,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11439,2720,*2720 - Edgewood - 10.1% Tax Code,Correct
11450,2720,*2720 - Edgewood - 10.1% Tax Code,Correct
11443,2700,*2727 - Pierce- 10.1% Tax Code,updated
11432,,*2701 - Bonney Lake - 9.5% Tax Code,Check Manually
11459,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11463,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11390,2701,*2701 - Bonney Lake - 9.5% Tax Code,Correct
11457,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11465,2727,*2700-Pierce- 9.5% Tax Code,updated
11470,4100,*4100 - Pierce- 8.1% Tax Code,Correct
11475,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11487,2701,*2701 - Bonney Lake - 9.5% Tax Code,Correct
11422,2711,*PUYALLUP - 2711 -10.1.% Tax Code979-inactive,Correct
11492,4100,*4100 - Pierce- 8.1% Tax Code,Correct
11499,2727,*2700-Pierce- 9.5% Tax Code,Check Manually
11495,4100,*4100 - Pierce- 8.1% Tax Code,Correct
11516,1732,PIERCE - 2700 Tax Code842-inactive,updated
11514,2711,*2700-Pierce- 9.5% Tax Code,updated
11512,2700,*2700-Pierce- 9.5% Tax Code,Correct
11532,2700,WHOLESALE - HV RESALE Tax Code-inactive,updated
11530,2700,*2700-Pierce- 9.5% Tax Code,Correct
11536,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11506,2708,*2708 - Gig Harbor - 9.1% Tax Code,Correct
11510,2721,*2721 - Lakewood - 10.1% Tax Code,Correct
11508,2727,*2700-Pierce- 9.5% Tax Code,updated
11539,2716,WHOLESALE - HV RESALE821-inactive,updated
11553,2700,PIERCE - 2700 Tax Code842-inactive,Correct
11544,2700,*2727 - Pierce- 10.1% Tax Code,Check Manually
11545,2727,*2706 - Fife -10.1% Tax Code,updated
11550,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11548,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11557,2727,*2725 - Nisqually- 9.5%. Tax Code,updated
11556,4100,PIERCE - 4100 Tax Code845-inactive,Correct
11577,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11580,2717,TACOMA-2717-eff 07/21.-inactive,Correct
11523,2727,*2700-Pierce- 9.5% Tax Code,updated
11560,2727,*2700-Pierce- 9.5% Tax Code,updated
11561,2701,*2701 - Bonney Lake - 9.5% Tax Code,Correct
11564,2720,*2720 - Edgewood - 10.1% Tax Code,Correct
11582,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11589,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11526,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11555,2700,*2700-Pierce- 9.5% Tax Code,Correct
11597,2700,*2700-Pierce- 9.5% Tax Code,Correct
11573,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11603,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11605,2700,*2700-Pierce- 9.5% Tax Code,Correct
11611,2720,*2720 - Edgewood - 10.1% Tax Code,Correct
11629,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11612,1732,*FEDERAL WAY - 1732 -10.2.% Tax Code1005-inactive,Correct
11628,1732,*FEDERAL WAY - 1732 -10.2.% Tax Code1005-inactive,Correct
11617,4000,*KING - 4000 - 8.8.% Tax Code1013-inactive,Correct
11602,2701,*2701 - Bonney Lake - 9.5% Tax Code,Correct
11613,2700,*2727 - Pierce- 10.1% Tax Code,updated
11638,2719,*2719-University Place-10.1% Tax Cod,Correct
11643,2720,*2702 - Buckley - 8.2% Tax Code,updated
11637,4100,*4100 - Pierce- 8.1% Tax Code,Correct
11587,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11642,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11649,2700,*2727 - Pierce- 10.1% Tax Code,Check Manually
11666,2700,*2700-Pierce- 9.5% Tax Code,Correct
11657,4100,*4100 - Pierce- 8.1% Tax Code,Correct
11675,4100,*ORTING - 2710 -9.5.% Tax Code972-inactive,updated
11655,2700,*2700-Pierce- 9.5% Tax Code,Correct
11645,2700,*2700-Pierce- 9.5% Tax Code,Correct
11672,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11680,2700,*2700-Pierce- 9.5% Tax Code,Correct
11653,2700,*2700-Pierce- 9.5% Tax Code,Correct
11685,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11694,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11663,2720,*2720 - Edgewood - 10.1% Tax Code,Correct
11681,2720,*2720 - Edgewood - 10.1% Tax Code,Correct
11708,2720,EDGEWOOD - 2720 Tax Code872-inactive,Correct
11710,2700,*2700-Pierce- 9.5% Tax Code,Correct
11707,2700,*2700-Pierce- 9.5% Tax Code,Correct
11723,2700,*2700-Pierce- 9.5% Tax Code,Correct
11718,2721,*2721 - Lakewood - 10.1% Tax Code,Correct
11725,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11709,2720,EDGEWOOD - 2720 Tax Code872,Correct
11728,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11715,2720,*2720 - Edgewood - 10.1% Tax Code,Correct
11729,2700,*2700-Pierce- 9.5% Tax Code,Correct
11730,2700,*2700-Pierce- 9.5% Tax Code,Correct
11640,2700,*2727 - Pierce- 10.1% Tax Code,updated
11741,2700,*2700-Pierce- 9.5% Tax Code,Correct
11717,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11742,2711,*PUYALLUP - 2711 -10.1.% Tax Code979-inactive,Correct
11693,2700,*2700-Pierce- 9.5% Tax Code,Correct
11726,2720,*2720 - Edgewood - 10.1% Tax Code,Correct
11733,2720,*2720 - Edgewood - 10.1% Tax Code,Correct
11749,2711,*PUYALLUP - 2711 -10.1.% Tax Code979-inactive,Correct
11755,2700,*2700-Pierce- 9.5% Tax Code,Correct
11777,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11631,2721,*2721 - Lakewood - 10.1% Tax Code,Correct
11735,2700,*2700-Pierce- 9.5% Tax Code,Correct
11752,4100,*ORTING - 2710 -9.5.% Tax Code972-inactive,updated
11743,2700,*2700-Pierce- 9.5% Tax Code,Correct
11644,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11746,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11759,2720,*2720 - Edgewood - 10.1% Tax Code,Correct
11775,4000,*KING - 4000 - 8.8.% Tax Code1013-inactive,Correct
11750,4100,*4100 - Pierce- 8.1% Tax Code,Correct
11772,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11793,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11767,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11833,,,Check Manually
11792,4100,*4100 - Pierce- 8.1% Tax Code,Correct
11819,2700,*2700-Pierce- 9.5% Tax Code,Correct
11821,2709,*2700-Pierce- 9.5% Tax Code,updated
11826,2720,*2720 - Edgewood - 10.1% Tax Code,Correct
11828,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11802,,,Check Manually
11848,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11859,4100,*4100 - Pierce- 8.1% Tax Code,Correct
11766,2700,PIERCE CO RTA-2700-eff 07/23 Tax Cod-inactive,Correct
11817,2700,*2700-Pierce- 9.5% Tax Code,Correct
11824,2700,*2700-Pierce- 9.5% Tax Code,Correct
11825,2700,*2700-Pierce- 9.5% Tax Code,Correct
11870,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11801,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11876,2727,PIERCE - 2700 Tax Code842-inactive,updated
11886,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11869,4100,*4100 - Pierce- 8.1% Tax Code,Correct
11882,2700,*2700-Pierce- 9.5% Tax Code,Correct
11904,2700,PIERCE - 2727 Tax Code844-inactive,updated
11888,2700,*2700-Pierce- 9.5% Tax Code,Correct
11627,2700,*2700-Pierce- 9.5% Tax Code,Correct
11895,2700,*2727 - Pierce- 10.1% Tax Code,updated
11889,2700,*2700-Pierce- 9.5% Tax Code,Correct
11908,2727,*MILTON-1731-10.2.% Tax Code1018-inactive,updated
11927,2700,*2720 - Edgewood - 10.1% Tax Code,updated
11877,2701,*2701 - Bonney Lake - 9.5% Tax Code,Correct
11898,2700,*2700-Pierce- 9.5% Tax Code,Correct
11906,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11907,2700,*2700-Pierce- 9.5% Tax Code,Correct
11942,2700,*2700-Pierce- 9.5% Tax Code,Correct
11891,2719,*2700-Pierce- 9.5% Tax Code,updated
11921,2707,FIRCREST - 2707 Tax Code876-inactive,Correct
11944,2719,*2719-University Place-10.1% Tax Cod,Correct
11953,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11878,2700,*2700-Pierce- 9.5% Tax Code,Correct
11950,4100,*4100 - Pierce- 8.1% Tax Code,Correct
11949,2720,*2720 - Edgewood - 10.1% Tax Code,Correct
11975,2720,EDGEWOOD - 2720 Tax Code872-inactive,Correct
11899,2700,*2700-Pierce- 9.5% Tax Code,Correct
11968,2716,*SUMNER - 2716 - 9.5.% Tax Code987-inactive,Correct
11941,2711,*PUYALLUP - 2711 -10.1.% Tax Code979-inactive,Correct
11902,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12006,2700,*2727 - Pierce- 10.1% Tax Code,updated
11952,2727,*2727 - Pierce- 10.1% Tax Code,Correct
11988,2700,*2700-Pierce- 9.5% Tax Code,Correct
11967,4100,*4100 - Pierce- 8.1% Tax Code,Correct
11998,2700,*2700-Pierce- 9.5% Tax Code,Correct
12011,2700,*2700-Pierce- 9.5% Tax Code,Correct
11973,2700,*2700-Pierce- 9.5% Tax Code,Correct
11996,2711,*PUYALLUP - 2711 -10.1.% Tax Code979-inactive,Correct
11969,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12007,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12020,2700,*2700-Pierce- 9.5% Tax Code,Correct
12044,2700,*2700-Pierce- 9.5% Tax Code,Correct
12035,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12024,2717,*2717 - TACOMA - 10.3% Tax Code961-inactive,Correct
11985,2727,*2700-Pierce- 9.5% Tax Code,updated
12018,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12046,2700,*2700-Pierce- 9.5% Tax Code,Correct
12062,4100,*2727 - Pierce- 10.1% Tax Code,updated
12021,4000,*KING - 4000 - 8.8.% Tax Code1013-inactive,Correct
12054,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12002,2720,*2720 - Edgewood - 10.1% Tax Code,Correct
12040,2700,*2700-Pierce- 9.5% Tax Code,Correct
12051,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12015,,EDGEWOOD - 2720 Tax Code872-inactive,Check Manually
12052,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12089,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12069,2720,*2720 - Edgewood - 10.1% Tax Code,Correct
12057,2719,*2719-University Place-10.1% Tax Cod,Correct
12071,2719,*2719-University Place-10.1% Tax Cod,Correct
12092,2707,*2719-University Place-10.1% Tax Cod,updated
12070,2720,*2720 - Edgewood - 10.1% Tax Code,Correct
12103,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12104,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12107,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12049,2700,*2700-Pierce- 9.5% Tax Code,Correct
12133,2720,*2720 - Edgewood - 10.1% Tax Code,Correct
12075,2719,*2719-University Place-10.1% Tax Cod,Correct
12095,2700,*2700-Pierce- 9.5% Tax Code,Correct
12108,2700,*2727 - Pierce- 10.1% Tax Code,updated
12132,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12124,2700,*2700-Pierce- 9.5% Tax Code,Correct
12127,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12156,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12138,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12165,,,Check Manually
12126,1732,*FEDERAL WAY - 1732 -10.2.% Tax Code1005-inactive,Correct
12031,2700,*2700-Pierce- 9.5% Tax Code,Correct
12169,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12118,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12153,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12154,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12184,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12201,2711,*PUYALLUP - 2711 -10.1.% Tax Code979-inactive,Correct
12205,2700,*2700-Pierce- 9.5% Tax Code,Correct
12202,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12212,2727,*2700-Pierce- 9.5% Tax Code,updated
12214,2700,*2700-Pierce- 9.5% Tax Code,Correct
12179,2788,*2788 - Gig Harbor - 9.1% Tax Code,Correct
12215,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12227,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12230,4000,*KING - 4000 - 8.8.% Tax Code1013-inactive,Correct
12140,2700,*2700-Pierce- 9.5% Tax Code,Correct
12222,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12228,2727,*2700-Pierce- 9.5% Tax Code,updated
12232,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12255,2700,*2700-Pierce- 9.5% Tax Code,Correct
12159,2720,*2700-Pierce- 9.5% Tax Code,updated
12234,1700,*AUBURN - 1702 - 10.3.% Tax Code992-inactive,updated
12250,1700,*KING - 1700 -10.2.% Tax Code1015-inactive,Correct
12266,4100,*NON TAX - RESALE Tax Code,updated
12235,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12269,4100,*2700-Pierce- 9.5% Tax Code,updated
12225,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12244,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12278,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12282,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12259,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12302,2700,*2700-Pierce- 9.5% Tax Code,Correct
12257,2788,*2788 - Gig Harbor - 9.1% Tax Code,Correct
12300,2719,*2719-University Place-10.1% Tax Cod,Correct
12324,2727,*2700-Pierce- 9.5% Tax Code,updated
12313,2701,*2700-Pierce- 9.5% Tax Code,updated
12327,4100,*NON TAX - RESALE Tax Code,updated
12277,4100,PIERCE - 4100 Tax Code845-inactive,Correct
